序号	提交答卷时间	所用时间	来源	来源详情	来自IP	2、著名古迹"秦始皇兵马俑"位于我国______省	3、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	4、《义勇军进行曲》是哪部电影的主题歌?	5、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	6、“豆蔻年华”是指____岁(请填阿拉伯数字)	7、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	8、交响乐通常有多少乐章（请填阿拉伯数字)	9、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	10、电子计算机发明于____年（请填阿拉伯数字）	11、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	12、人体消化道中最长的器官是	13、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	14、细胞膜的基本骨架是	15、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	16、中国和朝鲜两国的界河是	17、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	18、IMF国际组织的中文全称	19、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	20、太平天国中的西王是谁?	21、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开
1	N/A	N/A	N/A	N/A	N/A	Shaanxi	山西	不知道	Heroic	18	16	不知道	8	不知道	1960	tharm	胃	几丁质	纤维素	Yalu	Heilong	Inter_Mon_F	安理会	不知道	Hong
2	N/A	N/A	N/A	N/A	N/A	Shaanxi	Shaanxi	不知道	不知道	15	15	不知道	不知道	不知道	不知道	small	small	忘了	高中学了的	Yalu	Yalu	Inter_Mon_Org	Inter_Mon_Org	不知道	正确答案
3	N/A	N/A	N/A	N/A	N/A	Shaanxi	Xi'an	Heroic	开国大典	12	13	8	9	1970	1949	small	large	磷酸	磷酸	黑龙江河	漠河	Inter_Mon_F	Inter_Mon_F	Hong	Hong
4	N/A	N/A	N/A	N/A	N/A	Shaanxi	Shaanxi,Xi'an	Heroic	Heroic,黄河大合唱,义勇军	14	14,12,13,15	4	4,8,10	不知道	不知道	tharm	tharm,large,small	protein	protein,脂质,膜,油	Yalu	Yalu,Songhua,Heilong	Inter_Mon_F	不知道	不知道	不知道
5	N/A	N/A	N/A	N/A	N/A	Shaanxi	Shaanxi	Heroic	不知道	13-14	不知道	不知道	不知道	1968	不知道	large	不知道	phos_bi	不知道	Yalu	不知道	经济方面的。具体不清楚	不知道	不知道	不知道
6	N/A	N/A	N/A	N/A	N/A	Shaanxi	甘肃	不知道	不知道	14	16	6	4	1934	1944	small	large	phos_bi	糖蛋白	Yalu	你是傻逼	不知道	不知道	Shi	那英
7	N/A	N/A	N/A	N/A	N/A	Shaanxi	100%	不记得了	60%	16	40%	不知道	10%	不知道	30%	small	60%	phos_bi	20%	不知道	30%	国际xxxx	10%	不知道	20%
8	N/A	N/A	N/A	N/A	N/A	Shaanxi	Shaanxi,山西	Troubled	Troubled	13	13,16,18	5	3,4,5	1946	不知道	small	small	phos_bi	phos_bi	YaluandDooman	Yalu	Inter_Mon_F	Inter_Mon_F	Xiao	Xiao,Shi,Yang
9	N/A	N/A	N/A	N/A	N/A	Shaanxi	Shaanxi	Troubled	不知道	13	不知道	不知道	不知道	1947	不知道	small	不知道	phos_bi	不知道	Yalu	不知道	不知道	不知道	不知道	不知道
10	N/A	N/A	N/A	N/A	N/A	Shaanxi	山西	Heroic	建国大业	16	18	6	4	1900	1949	intestine	头发	cellwall	细胞核	Yalu	Heilong	Inter_Fund_Org	世界银行	杨秀全	Shi
11	N/A	N/A	N/A	N/A	N/A	Shaanxi	山西,Shaanxi,Xi'an	不知道	黄河儿女	15	18,15,16	不知道	不知道	不知道	不知道	small	large,small	磷酸二脂键	protein	不知道	不知道	不知道	不知道	不知道	不知道
12	N/A	N/A	N/A	N/A	N/A	Shaanxi	60%	不知道	10%	28	50%	4	30%	1952	2%	small	70%	protein	40%	Yalu	100%	世界货币组织	40%	不知道	10%
13	N/A	N/A	N/A	N/A	N/A	Shaanxi	Shaanxi	不知道	不知道	28	28	4	4	1952	19,521,954	small	small,large	protein	protein	Yalu	Yalu	Inter_Mon_F	Inter_Mon_F	Hong	Hong
14	N/A	N/A	N/A	N/A	N/A	Shaanxi	Shaanxi,河南,河北	不知道	开国大典,不知道	14	14,16,18,20	4	3,4	1946	1912,1946,1949,1975,1980,1985	small	食道,small,large	phos_bi	phos,phos_bi,protein	Yalu	Yalu,Heilong,牡丹江	Inter_Mon_F	Inter_Mon_F,不知道	不知道	不知道,Hong
