序号	提交答卷时间	所用时间	来源	来源详情	来自IP	21. 巴西首都在哪个城市？	22.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开）	23. 白求恩是哪国人？	24.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开）
1	N/A	N/A	N/A	N/A	N/A	SaoPaulo	不知道	Canada	China
2	N/A	N/A	N/A	N/A	N/A	Rio	不知道	Canada	China
3	N/A	N/A	N/A	N/A	N/A	Brasilia	Rio,Brasilia	Canada	China,Canada
4	N/A	N/A	N/A	N/A	N/A	Brasilia	不知道	Canada	US
5	N/A	N/A	N/A	N/A	N/A	Brasilia	SaoPaulo	Canada	不知道
6	N/A	N/A	N/A	N/A	N/A	SaoPaulo	Barcelona	Canada	SovietUnion
7	N/A	N/A	N/A	N/A	N/A	Rio	Rio	US	US
8	N/A	N/A	N/A	N/A	N/A	Brasilia	Rio	不知道	不知道
9	N/A	N/A	N/A	N/A	N/A	Rio	北京	France	UK
10	N/A	N/A	N/A	N/A	N/A	Brasilia	Brasilia,Rio	Canada	Canada
11	N/A	N/A	N/A	N/A	N/A	Brasilia	Brasilia,Rio	Canada	Canada,US
12	N/A	N/A	N/A	N/A	N/A	Brasilia	Brasilia,Rio	Canada	Canada,US
13	N/A	N/A	N/A	N/A	N/A	Rio	Rio	SovietUnion	SovietUnion,Russia,China
14	N/A	N/A	N/A	N/A	N/A	Brasilia	我不知道	Canada	Canada
15	N/A	N/A	N/A	N/A	N/A	Brasilia	Rio	Canada	China
16	N/A	N/A	N/A	N/A	N/A	Brasilia	Rio	Canada	China
17	N/A	N/A	N/A	N/A	N/A	Brasilia	Rio	Canada	Canada
18	N/A	N/A	N/A	N/A	N/A	Montreal	不知道	Canada	不知道
19	N/A	N/A	N/A	N/A	N/A	Brasilia	Brasilia,SaoPaulo,Rio	Canada	Canada,China,Switzerland
20	N/A	N/A	N/A	N/A	N/A	Brasilia	SaoPaulo,Rio	Canada	US
21	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	China
22	N/A	N/A	N/A	N/A	N/A	Rio	Rio	Canada	Canada
23	N/A	N/A	N/A	N/A	N/A	Brasilia	Brasilia,Rio,SaoPaulo	Canada	Canada
24	N/A	N/A	N/A	N/A	N/A	Brasilia	Brasilia,SaoPaulo	Canada	Canada
25	N/A	N/A	N/A	N/A	N/A	Brasilia	Rio	Canada	Canada
26	N/A	N/A	N/A	N/A	N/A	Brasilia	Rio	Canada	US
27	N/A	N/A	N/A	N/A	N/A	不知道	Rio	不知道	SovietUnion
28	N/A	N/A	N/A	N/A	N/A	SaoPaulo	Rio,SaoPaulo	US	US,SovietUnion
29	N/A	N/A	N/A	N/A	N/A	不知道	一个都说不出来	UK	UK,US,China
30	N/A	N/A	N/A	N/A	N/A	不知道	不知道	Canada	Canada,US,China
31	N/A	N/A	N/A	N/A	N/A	不知道	Rio	Canada	China
32	N/A	N/A	N/A	N/A	N/A	Rio	Rio	US	US,China
33	N/A	N/A	N/A	N/A	N/A	不知道	SaoPaulo,Rio	Canada	Canada,US,Australia
34	N/A	N/A	N/A	N/A	N/A	不知道	Barcelona	不知道	中国人
35	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	不知道
