序号	提交答卷时间	所用时间	来源	来源详情	来自IP	11. 群体诉讼最早产生于哪个国家？	你觉得其他人上一题可能会回答什么？(如果有多个请用英文逗号隔开：比如一种答案可能是：5,6,7)	12. 中国最大的湖泊是？	你觉得其他人上一题可能会回答什么？(如果有多个请用英文逗号隔开：比如一种答案可能是：5,6,7)
3	N/A	N/A	N/A	N/A	N/A	UK	UK	你觉得其他人上一题可能会回答什么？(如果有多个请用英文逗号隔开：比如一种答案可能是：5,6,7)	12.
4	N/A	N/A	N/A	N/A	N/A	UK	US	QinghaiLake	QinghaiLake
5	N/A	N/A	N/A	N/A	N/A	US	UK	QinghaiLake	PoyangLake
6	N/A	N/A	N/A	N/A	N/A	UK	UK	PoyangLake	QinghaiLake
7	N/A	N/A	N/A	N/A	N/A	UK	US	QinghaiLake	QinghaiLake
8	N/A	N/A	N/A	N/A	N/A	UK	UK,US,China	DongtingLake	不知道
9	N/A	N/A	N/A	N/A	N/A	UK	5	QinghaiLake	QinghaiLake,Namco
10	N/A	N/A	N/A	N/A	N/A	UK	US	不知道	5
11	N/A	N/A	N/A	N/A	N/A	UK	嘤嘤嘤	DeadSea	TaihuLake
12	N/A	N/A	N/A	N/A	N/A	UK	UK	QinghaiLake	江湖
13	N/A	N/A	N/A	N/A	N/A	不知道	不知道	QinghaiLake	QinghaiLake
14	N/A	N/A	N/A	N/A	N/A	US	US,UK	不知道	不知道
15	N/A	N/A	N/A	N/A	N/A	US	France	不知道	不知道
16	N/A	N/A	N/A	N/A	N/A	UK	UK	PoyangLake	Lop
17	N/A	N/A	N/A	N/A	N/A	US	US,UK,China	PoyangLake	PoyangLake
18	N/A	N/A	N/A	N/A	N/A	France	US	PoyangLake	PoyangLake
19	N/A	N/A	N/A	N/A	N/A	UK	UK,US,France	QinghaiLake	QinghaiLake
26	N/A	N/A	N/A	N/A	N/A	Greece	Greece	一个湖都说不出来	我也不知道
27	N/A	N/A	N/A	N/A	N/A	不知道	不知道	QinghaiLake	QinghaiLake
28	N/A	N/A	N/A	N/A	N/A	Athens	Athens	QinghaiLake	QinghaiLake
29	N/A	N/A	N/A	N/A	N/A	UK	France,US	PoyangLake	PoyangLake
30	N/A	N/A	N/A	N/A	N/A	UK	UK	QinghaiLake	Lop
31	N/A	N/A	N/A	N/A	N/A	UK	UK	WeimingLake	QinghaiLake
32	N/A	N/A	N/A	N/A	N/A	US	UK,US,France	QinghaiLake	QinghaiLake
33	N/A	N/A	N/A	N/A	N/A	SovietUnion	不知道	PoyangLake	DongtingLake,PoyangLake
34	N/A	N/A	N/A	N/A	N/A	UK	不知道	YangchengLake	WestLake,TaihuLake,WeimingLake
35	N/A	N/A	N/A	N/A	N/A	不知道	不知道	QinghaiLake	Afghanistan
36	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	不知道
