序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1."陟"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	2.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	3."鬾"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	4.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	5."旯"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	6.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	7."梏"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	8.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	9."焱"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	10.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	11."茕"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	12.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	13."谶"的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	14.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	15."令狐冲"中令的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	16.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	17."匕首"中匕的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	18.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	19."十里堡"中堡的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	20.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	21."苘麻"中苘的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	22.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）	23."稗子"中稗的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2”, 晚的读音是“wan3”, 大的读音是“da4”）。	24.你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1”）
1	N/A	N/A	N/A	N/A	N/A	she4	she4	zhi1	zhi1	ga1	jiu3	gou4	gao4	不知道	yan2	qiong2	qiong2	chuo2	chuo2	ling4	ling4	bi2	bi4	bao3	bao3	不知道	tong2	pi3	bei3
2	N/A	N/A	N/A	N/A	N/A	不知道	zhi4	不知道	chi4	ga1	ga1	gu4	gu4	不知道	不知道	不知道	jie2	不知道	不知道	ling4	ling4	bi3	bi3	bao3	bao3	不知道	不知道	不知道	不知道
3	N/A	N/A	N/A	N/A	N/A	不知道	dou3	chi1	chi1	gui3	gui3	ku4	ku4	yan4	yan4	qiong2	qiong2	不知道	fei3	ling4	ling4	bi4	bi4	bao3	bao3	不知道	xun2	不知道	bei1
4	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	不知道	不知道	不知道	zhi4	zhi4	yan4	yan4	不知道	不知道	不知道	不知道	ling4	ling4	bi4	bi4	bao3	bao3	不知道	不知道	不知道	不知道
5	N/A	N/A	N/A	N/A	N/A	zhi4	zhi4	不知道	不知道	la2	la2	gu4	gu4	yan4	yan4	qiong2	qiong2	不知道	不知道	ling2	ling2	bi4	bi4	pu4	pu4	不知道	不知道	不知道	不知道
6	N/A	N/A	N/A	N/A	N/A	zhi4	she4	zhi1	zhi1	ri4	ri4	gu4	gao4	yan1	yan1	qiong2	ying2	zhen1	jian3	ling2	ling2	bi3	bi4	pu4	bao3	qian2	qiong2	bi4	bi4
7	N/A	N/A	N/A	N/A	N/A	zhi4	bu2	不知道	zhi1	ga1	ji1	ku4	hao4	yan2	huo3	qiong2	jie2	chen4	jian1	ling4	ling2	bi3	bi4	pu4	bao3	不知道	jiong3	bai4	pi2
8	N/A	N/A	N/A	N/A	N/A	zhi4	she4	zhi4	zhi1	yan3	gui3	gu4	gao4	yan4	yan2	qiong2	不知道	chen4	jian4	ling4	ling4	bi4	bi4	pu4	bao3	xian1	jiong3	he2	不知道
9	N/A	N/A	N/A	N/A	N/A	zhi4	不知道	chi1	不知道	ga1	不知道	gu4	不知道	yan2	不知道	qiong2	不知道	chen4	不知道	ling2	不知道	bi3	不知道	pu4	不知道	hong2	不知道	pi2	不知道
10	N/A	N/A	N/A	N/A	N/A	she4	bu4	chi1	chi1	kao1	kao1	kao4	gao4	tan4	tan4	jie2	jie2	chi4	不知道	ling4	ling4	bi3	bi3	pu4	pu4	xun2	不知道	bi4	bi4
11	N/A	N/A	N/A	N/A	N/A	pi3	she4 bu4	不知道	zhi1 gui3	不认识	kao1 gui3	gu4	gao4 gu4	不知道	chi4 yan2	qiong2	ying2	chen4	jie2	不知道	ling4	bi4	bi3	bu4	bao3	不知道	不知道	bai4	不知道
12	N/A	N/A	N/A	N/A	N/A	she4	she4	chi1	chi1	ga2	ga2	gu4	gu4	yan4	yan2	qiong2	qiong2	chen4	chen4	ling2 hu2 chong2	ling2 hu2 chong2	bi3	bi3	bu3	bao3	jiong3	jiong3	bai4	bai4
13	N/A	N/A	N/A	N/A	N/A	zhi4	zhi4	不知道	zhi1,chu1	ga1	ga1,da2	gu4	gu4,hao4	yan2	yan2,huo3	qiong2	qiong2,ying2	chen4	chen4,ji1	ling4	ling4	bi3	bi3,bi4	pu4	bao3,pu4	jiong3	jiong3,tong2	bai4	bai4,pi2
14	N/A	N/A	N/A	N/A	N/A	zhi4	zhi4	不知道	不知道	ga2	ga2	gu4	gu4	yan4	yan4	qiong2	qiong2	chen4	chen4	ling2	ling2	bi3	bi3	pu4	pu4	不知道	不知道	bai4	bai4
15	N/A	N/A	N/A	N/A	N/A	zhi4	zhi4	不知道	不知道	不知道	不知道	gu4	gu4	yan4	yan4	qiong2	qiong2	chen4	chen4	ling4	ling4	bi3	bi3	pu4	pu4	不知道	不知道	不知道	不知道
