序号	提交答卷时间	所用时间	来源	来源详情	来自IP	"1、问题：红花比黄花多1/10，那么，黄花比红花少1/___
"	2、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开	5、球拍和球共1.10元，球拍比球贵1元，球的价格是___元	6、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开	7、如果5台机器能在5分钟生产5个小零件，那么100台机器生产100个小零件需要____分钟	8、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开	9、这座城市85%的出租车是绿色的，15%是蓝色的。一位目击证人辨认出肇事出租车是蓝色的，目击者在当时能够正确辨认出这两种颜色的概率是80%，这场事故的出租车是蓝色的而不是绿色的概率是_____%	10、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开	"13、
大圆B的半径是小圆A半径的三倍，A绕着B旋转一周回到起始点，请问A总共会转_____圈？"	14、你觉得其他人上一题可能会回答什么？(如果有多个请用逗号隔开
1	N/A	N/A	N/A	N/A	N/A	11	10	0.1	不知道	100	不知道	20	不知道	3	不知道
2	N/A	N/A	N/A	N/A	N/A	10	10	0.05	0.1	20	100	12	15	6π	6
3	N/A	N/A	N/A	N/A	N/A	10	不知道	0.1	0.1	5	5	41	41	3	3
4	N/A	N/A	N/A	N/A	N/A	11	10	11	不知道	5	不知道	20	不知道	6	3
5	N/A	N/A	N/A	N/A	N/A	10	不知道	0.1	0.1	1	100,5	12	80	3	3
6	N/A	N/A	N/A	N/A	N/A	10	10	9	不知道	10	不知道	50	不知道	6	3
7	N/A	N/A	N/A	N/A	N/A	11	10,11	0.1	0.1	100	100	80	80	3	3
8	N/A	N/A	N/A	N/A	N/A	11	11,10	0.5	0.1,0.5	100	100	12	12	6	6
9	N/A	N/A	N/A	N/A	N/A	10	10	0.05	1	5	5	12	12	9	9
10	N/A	N/A	N/A	N/A	N/A	10	11	0.1	0.1	1	1	15	15	3	3
11	N/A	N/A	N/A	N/A	N/A	10	10	0.05	0.1	100	1000	80	64	6	6
12	N/A	N/A	N/A	N/A	N/A	10	10	0.05	1	5	5,100	50	15,50	3	3
13	N/A	N/A	N/A	N/A	N/A	10	10	0.05	0.05	1	1	15	15	3	6,9
14	N/A	N/A	N/A	N/A	N/A	11	9,10	0.1	0.1	5	100	15	15	3	3
15	N/A	N/A	N/A	N/A	N/A	10	10	0.05	0.1	1	5	12	12	6	3
16	N/A	N/A	N/A	N/A	N/A	10	9	0.1	2.1	500	50	85	15	2	3
17	N/A	N/A	N/A	N/A	N/A	10	10	0.1	0.9	6000	100	85	90	3	3
18	N/A	N/A	N/A	N/A	N/A	11	10,11	0.1	0.11	1	1	12	80	3	3
19	N/A	N/A	N/A	N/A	N/A	11	10,9	0.1	0.1	1	5	12	12,15	3	3
20	N/A	N/A	N/A	N/A	N/A	11	10,11	0.5	0.5	500	20	80	80	3	3
21	N/A	N/A	N/A	N/A	N/A	11	10	0.05	0.05,0.1	5	5,100	12	12	6	3
22	N/A	N/A	N/A	N/A	N/A	10	9	0.05	0.05	5	100	41	41	3	3
23	N/A	N/A	N/A	N/A	N/A	11	10,9	0.1	0.1	5	5	80	12	3	3,6
24	N/A	N/A	N/A	N/A	N/A	11	9	0.05	0.5	5	5,1	41	41	3	9
25	N/A	N/A	N/A	N/A	N/A	11	10	0.05	1.05	5	1,5	12	12	3	3
26	N/A	N/A	N/A	N/A	N/A	9	10	0.1	2.1	5	100	80	15	3	3
27	N/A	N/A	N/A	N/A	N/A	11	10	0.05	0.05	5	1	40	40	10	10
28	N/A	N/A	N/A	N/A	N/A	10	9,10	0.05	1	5	100	12	15	3	3
29	N/A	N/A	N/A	N/A	N/A	10	10	0.05	1	25	5	80	80	3	6
30	N/A	N/A	N/A	N/A	N/A	11	10	0.1	0.1	1	1	15	15	3	3
31	N/A	N/A	N/A	N/A	N/A	10	10	0.05	0.1	20	30	10	5	10	10
32	N/A	N/A	N/A	N/A	N/A	11	10,11	0.5	0.5	5	5	35	35	3	6
33	N/A	N/A	N/A	N/A	N/A	11	10	0.05	1,1.05	1	1,100	80	80	3	8
34	N/A	N/A	N/A	N/A	N/A	11	10/9	0.05	0.1	5	100	12	85	9	9
35	N/A	N/A	N/A	N/A	N/A	9	9	0.05	0.1	5	100,500	80	12%	6	3
36	N/A	N/A	N/A	N/A	N/A	10	9	0.05	0.05	5	5	80	80	3	6
37	N/A	N/A	N/A	N/A	N/A	11	9	0.1	1	5	1	70	80	3	3
