序号	提交答卷时间	所用时间	来源	来源详情	来自IP	2、您认为发表著名的“铁幕演说”的人是？	3、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	4、在西方，中世纪的新年是__月__日？（答案例：13月32日）	5、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	6、"内阁"作为国家的最高决策机关和行政权力机关创立于什么朝代？	7、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	8、请问哪个城市被称为"六朝古都"？	9、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	10、"自由女神像”是哪个国家送给美国的礼物?	11、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	12、我国从哪个朝代起，最高统治者称"王"?	13、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	14、请问三国演义中蜀国的五虎大将里被称为常胜将军的是谁?	15、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	16、唐代人可以称"父亲"为?	17、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	18、唐太宗的"太宗"指的是他的?	19、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	20、请问坦克是哪个国家发明的?	21、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	22、我国历史上第一部编年体史书是《______》?（如答案应为《xxx》则填：xxx）	23、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	24、我国西晋的第一代皇帝名叫?	25、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开
1	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill,Marshall	Jan1	不知道	Ming	Song	Nanjing	Nanjing	France	France	Zhou	Shang	ZhaoYun	ZhaoYun	fu	不知道	temple	temple	Germany	UK	ZuoZhuan	ZuoZhuan	不知道	不知道
2	N/A	N/A	N/A	N/A	N/A	Churchill	Truman,斯大林,Roosevelt	Apr1	Jan1,Dec26	Ming	Qing	Nanjing	Xi'an,Beijing,Luoyang	France	UK	Shang	Zhou	ZhaoYun	GuanYu,ZhangFei	ye2	die	temple	posthumous	UK	US,SovietUnion,Germany	Chunqiu	Shiji	yan	zhao,yi
3	N/A	N/A	N/A	N/A	N/A	Churchill	Roosevelt	Dec25	Jan1,Dec31	Ming	Tang,Qing	Nanjing	Xi'an,Luoyang	France	UK	Xia	Shang,Zhou	ZhaoYun	不知道	ye2	不知道	temple	posthumous,尊号	UK	US,Germany	Chunqiu	Shiji	yan	yi
4	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill	不知道	Dec25	Ming	Ming	Nanjing	Nanjing	France	France	Xia	Xia	不知道	ZhaoYun	ye1	ye1	temple	posthumous	不知道	不知道	ZuoZhuan	ZuoZhuan	yan	zhao
5	N/A	N/A	N/A	N/A	N/A	Churchill	Roosevelt,斯大林,奥巴马	Apr1	Jan1	Ming	Tang,汉	Nanjing	Xi'an	France	UK	Shang	Zhou	ZhaoYun	GuanYu	die	die,fu	temple	名字	UK	Germany	ZuoZhuan	二人转	yan	zhao,yi
6	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill,Roosevelt,斯大林	Dec25	不知道	Song	Song,Ming,Qing	Nanjing	Nanjing	France	France,UK,意大利	Tang	Han,魏晋南北朝	ZhaoYun	ZhaoYun	ye1	ye1	posthumous	posthumous,Nianhao	US	US,SovietUnion,UK	ZizhiTongjian	ZizhiTongjian,汉书,Shiji	yi	不知道
7	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill	Dec25	Dec25	Ming	Ming	Nanjing	Nanjing	France	France	Qin	Qin	ZhaoYun	ZhaoYun	die	不知道	temple	temple	UK	UK	ZizhiTongjian	ZizhiTongjian	yan	yan
8	N/A	N/A	N/A	N/A	N/A	Churchill	Marshall	Apr1	Jan1	Ming	Tang	Nanjing	Xi'an	France	UK	Xia	Zhou	ZhaoYun	GuanYu	不知道	不知道	temple	posthumous	UK	US,Germany	Chunqiu	ZizhiTongjian	yan	zhao
9	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill,Roosevelt,Truman	Dec25	Dec25,Jan1	Ming	Ming,Qing,Song	Luoyang	Luoyang,Xi'an,Beijing	France	UK,France,加拿大	Shang	Xia,Shang,Zhou	ZhaoYun	GuanYu,ZhangFei	yan	不知道	temple	posthumous,Nianhao	UK	France,Germany	ZuoZhuan	Shiji	yan	yi,zhao
10	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill	Dec25	Jan1	Ming	同上	Nanjing	Nanjing,Beijing	France	同上	Han	同上	ZhaoYun	同上	不知道	不知道	temple	posthumous	Germany	Germany	Chunqiu	同上	不知道	不知道
